"","itemtype","variable","value"
"1","acart","X2016",59
"2","acbk","X2016",29025922
"3","accas","X2016",159067
"4","accd","X2016",11571629
"5","accdrom","X2016",2120
"6","acdisk","X2016",153
"7","acdvd","X2016",23089635
"8","aceq","X2016",24507
"9","aceqnh","X2016",1194
"10","acfold","X2016",40585
"11","ackit","X2016",982
"12","acmap","X2016",300
"13","acmus","X2016",128811
"14","acpam","X2016",89
"15","acper","X2016",275
"16","acphoto","X2016",1
"17","acpost","X2016",62
"18","acrec","X2016",5118
"19","acslide","X2016",23
"20","acunkn","X2016",4
"21","acvhs","X2016",733801
"22","acvid","X2016",387
"23","ahbk","X2016",854
"24","ahmfm","X2016",1
"25","alaptop","X2016",18159
"26","alvhs","X2016",6580
"27","arbk","X2016",12259
"28","arcas","X2016",3
"29","arcd","X2016",211
"30","arcdrom","X2016",10
"31","ardvd","X2016",3
"32","areq","X2016",714
"33","areqnh","X2016",89
"34","arkit","X2016",6
"35","armap","X2016",5
"36","armfc","X2016",44
"37","armfm","X2016",54
"38","armus","X2016",23
"39","arper","X2016",514
"40","arrec","X2016",6
"41","arunkn","X2016",8
"42","arvhs","X2016",17
"43","arweb","X2016",1
"44","atablet","X2016",1286
"45","bcbk","X2016",87110
"46","bccas","X2016",4149
"47","bccd","X2016",19399
"48","bccdrom","X2016",491
"49","bcdvd","X2016",28354
"50","bckit","X2016",6263
"51","bcvhs","X2016",3956
"52","blvhs","X2016",330
"53","dcillb","X2016",162835
"54","dcilll","X2016",1
"55","drtest","X2016",58
"56","jcbk","X2016",20586378
"57","jccas","X2016",54688
"58","jccd","X2016",1204238
"59","jccdrom","X2016",4874
"60","jcdvd","X2016",4181948
"61","jckit","X2016",103152
"62","jcmus","X2016",2066
"63","jcrec","X2016",10
"64","jcvhs","X2016",242255
"65","jlvhs","X2016",223
"66","jrbk","X2016",325
"67","jrcd","X2016",5
"68","jrkit","X2016",2
"69","jrmus","X2016",2
"70","jrrec","X2016",16
"71","pkbknh","X2016",200661
"72","ucfold","X2016",190155
"73","ucunkn","X2016",329
"74","ucunknj","X2016",6687
"75","acart","X2014",51
"76","acbk","X2014",21615839
"77","accas","X2014",159047
"78","accd","X2014",9448729
"79","accdrom","X2014",2048
"80","acdisk","X2014",153
"81","acdvd","X2014",17296925
"82","aceq","X2014",2530
"83","aceqnh","X2014",1
"84","acfold","X2014",35675
"85","ackit","X2014",962
"86","acmap","X2014",162
"87","acmus","X2014",100683
"88","acpam","X2014",67
"89","acper","X2014",243
"90","acphoto","X2014",1
"91","acpost","X2014",54
"92","acrec","X2014",3856
"93","acslide","X2014",22
"94","acunkn","X2014",4
"95","acvhs","X2014",733800
"96","acvid","X2014",387
"97","ahbk","X2014",504
"98","ahmfm","X2014",1
"99","alaptop","X2014",372
"100","alvhs","X2014",6580
"101","arbk","X2014",10852
"102","arcas","X2014",2
"103","arcd","X2014",203
"104","arcdrom","X2014",10
"105","ardvd","X2014",1
"106","areq","X2014",NA
"107","areqnh","X2014",NA
"108","arkit","X2014",5
"109","armap","X2014",5
"110","armfc","X2014",38
"111","armfm","X2014",53
"112","armus","X2014",23
"113","arper","X2014",493
"114","arrec","X2014",2
"115","arunkn","X2014",8
"116","arvhs","X2014",17
"117","arweb","X2014",1
"118","atablet","X2014",NA
"119","bcbk","X2014",64955
"120","bccas","X2014",4149
"121","bccd","X2014",16935
"122","bccdrom","X2014",491
"123","bcdvd","X2014",24785
"124","bckit","X2014",6152
"125","bcvhs","X2014",3955
"126","blvhs","X2014",330
"127","dcillb","X2014",150364
"128","dcilll","X2014",1
"129","drtest","X2014",58
"130","jcbk","X2014",13866949
"131","jccas","X2014",54671
"132","jccd","X2014",917997
"133","jccdrom","X2014",4874
"134","jcdvd","X2014",3301878
"135","jckit","X2014",94025
"136","jcmus","X2014",1925
"137","jcrec","X2014",10
"138","jcvhs","X2014",242255
"139","jlvhs","X2014",223
"140","jrbk","X2014",274
"141","jrcd","X2014",5
"142","jrkit","X2014",2
"143","jrmus","X2014",2
"144","jrrec","X2014",16
"145","pkbknh","X2014",NA
"146","ucfold","X2014",140568
"147","ucunkn","X2014",320
"148","ucunknj","X2014",6676
"149","acart","X2013",51
"150","acbk","X2013",19319912
"151","accas","X2013",159034
"152","accd","X2013",8620539
"153","accdrom","X2013",2021
"154","acdisk","X2013",151
"155","acdvd","X2013",15343124
"156","aceq","X2013",2078
"157","aceqnh","X2013",NA
"158","acfold","X2013",33396
"159","ackit","X2013",945
"160","acmap","X2013",146
"161","acmus","X2013",91410
"162","acpam","X2013",56
"163","acper","X2013",241
"164","acphoto","X2013",NA
"165","acpost","X2013",49
"166","acrec","X2013",3501
"167","acslide","X2013",22
"168","acunkn","X2013",4
"169","acvhs","X2013",733793
"170","acvid","X2013",387
"171","ahbk","X2013",63
"172","ahmfm","X2013",1
"173","alaptop","X2013",62
"174","alvhs","X2013",6580
"175","arbk","X2013",10117
"176","arcas","X2013",2
"177","arcd","X2013",201
"178","arcdrom","X2013",10
"179","ardvd","X2013",1
"180","areq","X2013",NA
"181","areqnh","X2013",NA
"182","arkit","X2013",5
"183","armap","X2013",5
"184","armfc","X2013",36
"185","armfm","X2013",48
"186","armus","X2013",20
"187","arper","X2013",471
"188","arrec","X2013",1
"189","arunkn","X2013",8
"190","arvhs","X2013",17
"191","arweb","X2013",1
"192","atablet","X2013",NA
"193","bcbk","X2013",59227
"194","bccas","X2013",4149
"195","bccd","X2013",15699
"196","bccdrom","X2013",491
"197","bcdvd","X2013",22713
"198","bckit","X2013",6066
"199","bcvhs","X2013",3948
"200","blvhs","X2013",330
"201","dcillb","X2013",145593
"202","dcilll","X2013",1
"203","drtest","X2013",58
"204","jcbk","X2013",12003079
"205","jccas","X2013",54658
"206","jccd","X2013",814772
"207","jccdrom","X2013",4874
"208","jcdvd","X2013",2987013
"209","jckit","X2013",90378
"210","jcmus","X2013",1856
"211","jcrec","X2013",10
"212","jcvhs","X2013",242255
"213","jlvhs","X2013",223
"214","jrbk","X2013",258
"215","jrcd","X2013",5
"216","jrkit","X2013",2
"217","jrmus","X2013",2
"218","jrrec","X2013",16
"219","pkbknh","X2013",NA
"220","ucfold","X2013",124441
"221","ucunkn","X2013",315
"222","ucunknj","X2013",6669
"223","acart","X2011",49
"224","acbk","X2011",14489357
"225","accas","X2011",158956
"226","accd","X2011",6794629
"227","accdrom","X2011",1937
"228","acdisk","X2011",106
"229","acdvd","X2011",11376669
"230","aceq","X2011",1381
"231","aceqnh","X2011",NA
"232","acfold","X2011",27042
"233","ackit","X2011",886
"234","acmap","X2011",108
"235","acmus","X2011",71124
"236","acpam","X2011",52
"237","acper","X2011",231
"238","acphoto","X2011",NA
"239","acpost","X2011",44
"240","acrec","X2011",2648
"241","acslide","X2011",22
"242","acunkn","X2011",4
"243","acvhs","X2011",733654
"244","acvid","X2011",385
"245","ahbk","X2011",NA
"246","ahmfm","X2011",1
"247","alaptop","X2011",NA
"248","alvhs","X2011",6577
"249","arbk","X2011",8596
"250","arcas","X2011",2
"251","arcd","X2011",182
"252","arcdrom","X2011",10
"253","ardvd","X2011",1
"254","areq","X2011",NA
"255","areqnh","X2011",NA
"256","arkit","X2011",5
"257","armap","X2011",4
