"YEAR(cout)","itemtype","count(id)"
2006,"acart",25
2006,"acbk",1990657
2006,"accas",63537
2006,"accd",904444
2006,"accdrom",775
2006,"acdisk",7
2006,"acdvd",1127784
2006,"acfold",4596
2006,"ackit",257
2006,"acmap",24
2006,"acmus",11575
2006,"acpam",9
2006,"acper",23
2006,"acpost",12
2006,"acrec",634
2006,"acslide",11
2006,"acvhs",319627
2006,"acvid",175
2006,"alvhs",3136
2006,"arbk",2000
2006,"arcas",1
2006,"arcd",71
2006,"arcdrom",7
2006,"ardvd",1
2006,"armap",1
2006,"armfc",7
2006,"armfm",10
2006,"armus",8
2006,"arper",84
2006,"arunkn",8
2006,"arvhs",5
2006,"bcbk",5020
2006,"bccas",1695
2006,"bccd",374
2006,"bccdrom",197
2006,"bcdvd",109
2006,"bckit",782
2006,"bcvhs",1766
2006,"blvhs",160
2006,"dcillb",28541
2006,"dcilll",1
2006,"jcbk",1108844
2006,"jccas",23099
2006,"jccd",70808
2006,"jccdrom",2107
2006,"jcdvd",260823
2006,"jckit",13206
2006,"jcmus",318
2006,"jcrec",6
2006,"jcvhs",114253
2006,"jlvhs",98
2006,"jrbk",34
2006,"jrcd",1
2006,"jrmus",1
2006,"ucfold",14956
2006,"ucunkn",71
2006,"ucunknj",1178
2007,"acart",15
2007,"acbk",1976646
2007,"accas",41520
2007,"accd",963903
2007,"accdrom",418
2007,"acdisk",3
2007,"acdvd",1201159
2007,"acfold",4533
2007,"ackit",164
2007,"acmap",24
2007,"acmus",11529
2007,"acpam",15
2007,"acper",31
2007,"acpost",6
2007,"acrec",377
2007,"acslide",2
2007,"acunkn",1
2007,"acvhs",200091
2007,"acvid",102
2007,"alvhs",1797
2007,"arbk",1627
2007,"arcd",28
2007,"arcdrom",1
2007,"armfc",15
2007,"armfm",14
2007,"armus",1
2007,"arper",86
2007,"arvhs",4
2007,"bcbk",5348
2007,"bccas",996
2007,"bccd",1587
2007,"bccdrom",122
2007,"bcdvd",1104
2007,"bckit",1261
2007,"bcvhs",1022
2007,"blvhs",77
2007,"dcillb",29755
2007,"jcbk",1122397
2007,"jccas",14430
2007,"jccd",79226
2007,"jccdrom",1102
2007,"jcdvd",283434
2007,"jckit",16278
2007,"jcmus",293
2007,"jcrec",3
2007,"jcvhs",68219
2007,"jlvhs",56
2007,"jrbk",48
2007,"jrcd",1
2007,"jrkit",1
2007,"jrmus",1
2007,"jrrec",16
2007,"ucfold",13800
2007,"ucunkn",48
2007,"ucunknj",1212
2008,"acart",7
2008,"acbk",2581712
2008,"accas",31896
2008,"accd",1319116
2008,"accdrom",494
2008,"acdisk",10
2008,"acdvd",2072146
2008,"acfold",5032
2008,"ackit",145
2008,"acmap",11
2008,"acmus",12887
2008,"acpam",10
2008,"acper",104
2008,"acpost",8
2008,"acrec",412
2008,"acslide",5
2008,"acvhs",135757
2008,"acvid",58
2008,"alvhs",1093
2008,"arbk",1306
2008,"arcas",1
2008,"arcd",28
2008,"armap",1
2008,"armfc",3
2008,"armfm",6
2008,"arper",24
2008,"arvhs",2
2008,"bcbk",8578
2008,"bccas",787
2008,"bccd",2538
2008,"bccdrom",77
2008,"bcdvd",2014
2008,"bckit",1494
2008,"bcvhs",705
2008,"blvhs",62
2008,"dcillb",39424
2008,"jcbk",1469707
2008,"jccas",10182
2008,"jccd",104629
2008,"jccdrom",873
2008,"jcdvd",412833
2008,"jckit",22663
2008,"jcmus",269
2008,"jcrec",1
2008,"jcvhs",43208
2008,"jlvhs",53
2008,"jrbk",41
2008,"jrcd",3
2008,"jrkit",1
2008,"ucfold",15637
2008,"ucunkn",53
2008,"ucunknj",1434
2009,"acart",2
2009,"acbk",2779062
2009,"accas",16505
2009,"accd",1396777
2009,"accdrom",136
2009,"acdisk",12
2009,"acdvd",2438382
2009,"acfold",4252
2009,"ackit",160
2009,"acmap",20
2009,"acmus",12995
2009,"acpam",10
2009,"acper",44
2009,"acpost",11
2009,"acrec",399
2009,"acslide",2
2009,"acunkn",1
2009,"acvhs",61916
2009,"acvid",21
2009,"alvhs",441
2009,"arbk",1491
2009,"arcd",20
2009,"arcdrom",1
2009,"arkit",3
2009,"armfc",5
2009,"armfm",3
2009,"armus",5
2009,"arper",48
2009,"arvhs",5
2009,"bcbk",8398
2009,"bccas",499
2009,"bccd",2936
2009,"bccdrom",49
2009,"bcdvd",3609
2009,"bckit",1150
2009,"bcvhs",359
2009,"blvhs",26
2009,"dcillb",27067
2009,"jcbk",1576257
2009,"jccas",5569
2009,"jccd",111710
2009,"jccdrom",503
2009,"jcdvd",449435
2009,"jckit",21245
2009,"jcmus",261
2009,"jcvhs",15933
2009,"jlvhs",15
2009,"jrbk",43
2009,"ucfold",16587
2009,"ucunkn",53
2009,"ucunknj",1447
2010,"acbk",2648816
2010,"accas",4667
2010,"accd",1174192
2010,"accdrom",70
2010,"acdisk",34
2010,"acdvd",2395591
2010,"aceq",685
2010,"acfold",4607
2010,"ackit",91
2010,"acmap",23
2010,"acmus",11571
2010,"acper",15
2010,"acpost",4
2010,"acrec",391
2010,"acslide",1
2010,"acunkn",2
2010,"acvhs",14009
2010,"acvid",22
2010,"alvhs",92
2010,"arbk",1045
2010,"arcd",28
2010,"arkit",2
2010,"armap",2
2010,"armfc",1
2010,"armus",2
2010,"arper",69
2010,"arvhs",1
2010,"arweb",1
2010,"bcbk",9506
2010,"bccas",127
2010,"bccd",2472
2010,"bccdrom",46
2010,"bcdvd",4651
2010,"bckit",689
2010,"bcvhs",55
2010,"blvhs",4
2010,"dcillb",6449
2010,"jcbk",1550320
2010,"jccas",982
2010,"jccd",119231
2010,"jccdrom",180
2010,"jcdvd",449704
2010,"jckit",3807
2010,"jcmus",263
2010,"jcvhs",628
2010,"jlvhs",1
2010,"jrbk",40
2010,"ucfold",15088
2010,"ucunkn",32
2010,"ucunknj",1290
2011,"acbk",2512464
2011,"accas",831
2011,"accd",1036197
2011,"accdrom",44
2011,"acdisk",40
2011,"acdvd",2141607
2011,"aceq",696
2011,"acfold",4022
2011,"ackit",69
2011,"acmap",6
2011,"acmus",10567
2011,"acpam",8
2011,"acper",14
2011,"acpost",3
2011,"acrec",435
2011,"acslide",1
2011,"acvhs",2254
2011,"acvid",7
2011,"ahmfm",1
2011,"alvhs",18
2011,"arbk",1127
2011,"arcd",7
2011,"arcdrom",1
2011,"armfc",2
2011,"armfm",11
2011,"armus",1
2011,"arper",55
2011,"arrec",1
2011,"bcbk",8473
2011,"bccas",40
2011,"bccd",2301
2011,"bcdvd",4631
2011,"bckit",336
2011,"bcvhs",19
2011,"blvhs",1
2011,"dcillb",5005
2011,"drtest",5
2011,"jcbk",1598027
2011,"jccas",242
2011,"jccd",112290
2011,"jccdrom",61
2011,"jcdvd",409276
2011,"jckit",4912
2011,"jcmus",188
2011,"jcvhs",14
2011,"jrbk",17
2011,"ucfold",15825
2011,"ucunkn",25
2011,"ucunknj",101
2012,"acbk",2307503
2012,"accas",63
2012,"accd",888572
2012,"accdrom",33
2012,"acdisk",29
2012,"acdvd",1911282
2012,"aceq",326
2012,"acfold",3112
2012,"ackit",35
2012,"acmap",6
2012,"acmus",9873
2012,"acper",2
2012,"acpost",3
2012,"acrec",395
2012,"acvhs",108
2012,"acvid",2
2012,"alvhs",3
2012,"arbk",760
2012,"arcd",17
2012,"armap",1
2012,"armfc",1
2012,"armfm",3
2012,"arper",65
2012,"bcbk",7020
2012,"bccas",5
2012,"bccd",1886
2012,"bcdvd",3462
2012,"bckit",211
2012,"bcvhs",13
2012,"dcillb",4491
2012,"jcbk",1646038
2012,"jccas",114
2012,"jccd",104265
2012,"jccdrom",35
2012,"jcdvd",352425
2012,"jckit",4115
2012,"jcmus",153
2012,"jrbk",18
2012,"ucfold",15470
2012,"ucunkn",26
2012,"ucunknj",4
2013,"acart",2
2013,"acbk",2493136
2013,"accas",15
2013,"accd",926551
2013,"accdrom",50
2013,"acdisk",16
2013,"acdvd",2028736
2013,"aceq",366
2013,"acfold",3213
2013,"ackit",24
2013,"acmap",32
2013,"acmus",10297
2013,"acpam",4
2013,"acper",8
2013,"acpost",2
2013,"acrec",449
2013,"acvhs",30
2013,"ahbk",63
2013,"alaptop",61
2013,"arbk",752
